NAME,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010
Michigan,10055315,10051137,10036081,10001284,9946889,9901591,9877574
Addison village,627,627,627,622,616,608,604
Adrian city,22074,21940,21904,21826,21647,21310,21108
Ahmeek village,145,141,142,143,144,145,147
Akron village,442,436,430,423,414,406,402
Alanson village,778,772,768,758,753,745,738
Albion city,9120,9038,8920,8851,8788,8671,8612
Algonac city,4480,4434,4394,4335,4253,4164,4104
Allegan city,4929,4957,4970,4983,4994,4985,5002
Allen village,205,203,202,199,195,193,191
Allen Park city,29285,29174,28999,28764,28458,28286,28134
Alma city,9301,9292,9372,9415,9426,9324,9380
Almont village,2827,2835,2822,2792,2743,2696,2671
Alpena city,11006,10900,10778,10745,10701,10553,10459
Alpha village,172,168,162,157,152,148,145
Ann Arbor city,117000,117210,117036,116745,114121,114039,114090
Applegate village,274,271,269,264,259,251,247
Armada village,1684,1696,1707,1714,1720,1726,1730
Ashley village,549,550,556,560,561,559,563
Athens village,1087,1077,1066,1053,1044,1030,1024
Auburn city,2024,2035,2044,2049,2069,2077,2086
Auburn Hills city,20669,20786,20906,21023,21149,21304,21423
Au Gres city,993,985,971,957,939,918,887
Augusta village,891,888,887,885,883,885,886
Bad Axe city,3326,3291,3258,3224,3171,3146,3122
Baldwin village,1158,1172,1207,1198,1225,1200,1205
Bancroft village,600,591,586,576,563,550,545
Bangor city,1949,1936,1930,1913,1904,1898,1883
Baraga village,2056,2040,2099,2100,2062,2054,2051
Baroda village,866,865,863,867,869,871,873
Barryton village,383,380,375,368,363,357,355
Barton Hills village,319,316,312,307,301,297,294
Battle Creek city,53742,53528,53257,52958,52832,52421,52318
Bay City city,36099,35897,35640,35344,35299,35059,34910
Bear Lake village,315,309,305,301,295,289,286
Beaverton city,1146,1133,1128,1106,1088,1076,1070
Belding city,5996,5970,5959,5917,5868,5781,5755
Bellaire village,1179,1168,1158,1145,1126,1103,1082
Belleville city,4027,4032,4027,4015,3991,3987,3980
Bellevue village,1380,1368,1355,1338,1315,1291,1283
Benton Harbor city,10800,10619,10456,10348,10248,10128,10037
Benzonia village,520,523,524,519,511,501,496
Berkley city,15369,15297,15218,15119,15048,15000,14978
Berrien Springs village,1882,1858,1840,1830,1822,1809,1800
Bessemer city,2033,2005,1958,1941,1933,1912,1902
Beulah village,387,384,378,370,359,347,341
Beverly Hills village,10392,10368,10339,10299,10277,10269,10273
Big Rapids city,10978,11067,10848,10692,10689,10615,10607
Bingham Farms village,1069,1076,1082,1088,1095,1104,1112
Birch Run village,1634,1622,1608,1584,1571,1561,1553
Birmingham city,19736,19796,19847,19872,19934,20025,20114
Blissfield village,3346,3365,3382,3381,3365,3345,3335
Bloomfield Hills city,3933,3920,3907,3892,3881,3875,3871
Bloomingdale village,504,495,487,477,469,462,454
Boyne City city,3812,3806,3789,3806,3777,3750,3728
Boyne Falls village,341,333,324,319,310,300,293
Breckenridge village,1349,1347,1344,1344,1336,1328,1327
Breedsville village,222,218,214,210,206,202,199
Bridgman city,2357,2334,2316,2309,2307,2298,2291
Brighton city,7361,7485,7577,7541,7484,7464,7444
Britton village,658,649,639,627,612,596,585
Bronson city,2432,2419,2409,2407,2382,2364,2343
Brooklyn village,1208,1215,1218,1219,1207,1206,1206
Brown City city,1365,1365,1370,1364,1353,1329,1322
Buchanan city,4584,4543,4509,4497,4485,4469,4456
Buckley village,612,633,649,664,678,688,697
Burlington village,326,314,303,291,281,269,261
Burr Oak village,836,837,837,838,837,829,828
Burton city,30933,30975,30924,30752,30440,30123,29937
Byron village,604,601,601,597,589,582,581
Cadillac city,10257,10373,10401,10425,10426,10357,10353
Caledonia village,1281,1321,1363,1405,1442,1482,1513
Calumet village,732,731,724,720,723,723,727
Camden village,549,545,540,533,523,516,511
Capac village,1869,1881,1895,1901,1898,1890,1887
Carleton village,2513,2502,2487,2455,2413,2373,2344
Carney village,216,210,205,202,199,195,192
Caro village,4364,4322,4303,4304,4269,4234,4224
Carson City city,1191,1176,1162,1141,1127,1108,1092
Carsonville village,522,525,531,532,532,527,526
Caseville village,846,834,822,811,793,783,775
Casnovia village,318,320,320,321,320,320,319
Caspian city,942,937,921,916,908,904,906
Cass City village,2589,2557,2531,2513,2477,2442,2425
Cassopolis village,1844,1832,1817,1815,1805,1784,1771
Cedar Springs city,3336,3369,3403,3437,3460,3490,3512
Cement City village,468,465,462,457,450,442,437
Center Line city,8597,8560,8516,8449,8381,8308,8258
Central Lake village,1023,1015,1009,1000,984,966,949
Centreville village,1529,1516,1499,1485,1467,1438,1424
Charlevoix city,2840,2787,2726,2692,2625,2558,2508
Charlotte city,9144,9179,9190,9160,9126,9060,9080
Chatham village,220,219,221,223,221,222,219
Cheboygan city,5289,5257,5213,5144,5040,4928,4855
Chelsea city,4696,4764,4816,4861,4852,4906,4951
Chesaning village,2516,2499,2477,2439,2421,2405,2391
Clare city,3228,3212,3199,3171,3139,3114,3118
Clarksville village,358,365,373,379,384,389,394
Clawson city,12415,12309,12199,12075,11971,11885,11831
Clayton village,341,344,347,347,345,344,344
Clifford village,333,336,336,334,329,325,324
Climax village,778,775,773,770,767,768,768
Clinton village,2377,2383,2389,2381,2365,2344,2333
Clio city,2620,2643,2658,2661,2653,2643,2641
Coldwater city,10896,10929,10982,11051,11009,10944,10917
Coleman city,1287,1278,1268,1260,1254,1248,1242
Coloma city,1537,1522,1508,1502,1496,1489,1483
Colon village,1208,1205,1202,1199,1193,1177,1172
Columbiaville village,841,842,836,826,810,795,786
Concord village,1103,1100,1093,1085,1067,1056,1050
Constantine village,2103,2105,2104,2106,2101,2079,2075
Coopersville city,4118,4152,4198,4227,4248,4262,4279
Copemish village,223,217,213,208,203,197,194
Copper City village,199,198,195,192,191,190,190
Corunna city,3510,3513,3535,3533,3509,3487,3495
Croswell city,2523,2522,2531,2521,2500,2455,2441
Crystal Falls city,1639,1615,1580,1555,1523,1493,1468
Custer village,307,302,299,295,290,287,284
Daggett village,266,264,261,260,260,259,258
Dansville village,492,504,516,529,541,553,563
Davison city,5572,5539,5488,5417,5321,5224,5162
Dearborn city,99157,99255,99121,98780,98190,98065,97889
Dearborn Heights city,58800,58775,58621,58349,57933,57777,57620
Decatur village,1858,1849,1847,1835,1828,1828,1817
Deckerville village,907,897,891,878,862,839,828
Deerfield village,983,974,964,949,930,910,897
De Tour Village village,384,375,363,352,340,330,326
Detroit city,861186,837407,811922,784998,756383,731155,711890
DeWitt city,4712,4692,4679,4645,4591,4536,4510
Dexter village,3137,3316,3485,3647,3778,3944,4073
Dimondale village,1329,1319,1305,1288,1266,1243,1235
Douglas city,1249,1250,1247,1244,1242,1234,1233
Dowagiac city,6009,5995,5963,5979,5963,5904,5868
Dryden village,901,921,935,943,944,946,950
Dundee village,3772,3832,3888,3916,3928,3943,3955
Durand city,3811,3754,3714,3651,3563,3482,3444
Eagle village,133,132,131,129,127,124,123
East Grand Rapids city,10804,10790,10782,10774,10737,10717,10705
East Jordan city,2487,2467,2441,2438,2404,2371,2347
Eastlake village,484,488,495,501,505,508,511
East Lansing city,48060,48215,48078,48288,48371,48494,48570
Eastpointe city,33779,33636,33462,33200,32931,32641,32448
East Tawas city,2892,2893,2900,2891,2872,2836,2796
Eaton Rapids city,5377,5371,5355,5328,5279,5219,5218
Eau Claire village,643,637,632,631,628,626,625
Ecorse city,10612,10448,10259,10050,9818,9633,9486
Edmore village,1259,1253,1246,1231,1223,1211,1200
Edwardsburg village,1206,1217,1224,1242,1253,1254,1257
Elberta village,441,435,426,413,398,382,371
Elk Rapids village,1752,1741,1731,1718,1693,1665,1637
Elkton village,845,839,832,826,815,810,806
Ellsworth village,443,429,414,399,381,363,348
Elsie village,1032,1024,1017,1006,990,975,967
Emmett village,267,268,270,271,270,269,269
Empire village,389,387,385,382,379,377,375
Escanaba city,12990,12940,12908,12798,12737,12616,12615
Essexville city,3650,3621,3586,3546,3531,3498,3476
Estral Beach village,464,459,454,445,435,425,418
Evart city,1870,1880,1886,1894,1893,1894,1901
Fairgrove village,608,602,594,587,577,568,562
Farmington city,10439,10424,10406,10376,10364,10367,10378
Farmington Hills city,81543,81207,80842,80386,80068,79862,79783
Farwell village,876,877,878,874,869,867,871
Fennville city,1465,1459,1448,1438,1425,1407,1399
Fenton city,11339,11489,11606,11676,11693,11704,11732
Ferndale city,21264,21021,20770,20494,20256,20048,19911
Ferrysburg city,3007,2991,2984,2965,2941,2912,2895
Fife Lake village,463,460,458,455,452,447,443
Flat Rock city,9225,9365,9484,9582,9655,9772,9852
Flint city,118124,116104,113739,110948,107687,104454,102230
Flushing city,8571,8595,8594,8561,8488,8413,8372
Forestville village,134,135,137,137,137,136,136
Fountain village,177,180,183,185,188,191,193
Fowler village,1191,1198,1207,1211,1209,1206,1209
Fowlerville village,3065,3076,3074,3032,2971,2922,2886
Frankenmuth city,4959,4965,4960,4929,4934,4937,4938
Frankfort city,1477,1463,1438,1403,1358,1310,1284
Franklin village,3034,3054,3072,3086,3106,3130,3152
Fraser city,15186,15103,15006,14870,14731,14583,14483
Freeport village,473,479,481,485,485,484,482
Free Soil village,164,161,158,154,150,146,144
Fremont city,4289,4280,4242,4221,4181,4115,4075
Fruitport village,1110,1114,1111,1110,1107,1098,1092
Gaastra city,338,340,338,340,341,343,347
Gagetown village,394,394,393,393,390,388,388
Gaines village,379,382,383,383,382,380,379
