NAME,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016
Michigan,9876213,9887238,9898982,9915767,9917715,9928300
Addison village,599,597,596,595,593,593
Adrian city,21048,21031,20842,20769,20655,20676
Ahmeek village,151,149,147,150,147,148
Akron village,400,397,394,394,393,389
Alanson village,739,740,743,745,743,743
Albion city,8492,8352,8276,8273,8214,8337
Algonac city,4070,4048,4046,4050,4054,4056
Allegan city,4988,5034,5036,5067,5073,5072
Allen village,191,190,190,189,189,188
Allen Park city,27952,27851,27600,27552,27393,27214
Alma city,9330,9283,9265,9221,9187,9149
Almont village,2671,2679,2687,2709,2738,2764
Alpena city,10387,10335,10261,10227,10170,10122
Alpha village,144,142,140,138,138,136
Ann Arbor city,115346,115803,116391,118707,118765,120782
Applegate village,245,243,239,238,237,237
Armada village,1730,1735,1744,1747,1744,1740
Ashley village,559,557,557,555,554,553
Athens village,1018,1014,1013,1013,1008,1005
Auburn city,2086,2100,2136,2140,2147,2126
Auburn Hills city,21519,21762,22144,22322,22648,22795
Au Gres city,877,871,868,864,862,854
Augusta village,889,897,900,901,901,903
Bad Axe city,3097,3072,3052,3033,3011,2980
Baldwin village,1165,1203,1197,1189,1160,1206
Bancroft village,538,532,527,525,521,519
Bangor city,1877,1860,1861,1857,1849,1845
Baraga village,2048,2030,2013,2007,1997,1995
Baroda village,868,868,861,857,850,846
Barryton village,360,361,361,359,358,359
Barton Hills village,297,298,300,301,301,303
Battle Creek city,52018,51874,51843,51872,51649,51534
Bay City city,34788,34585,34442,34168,33888,33511
Bear Lake village,286,285,283,283,283,282
Beaverton city,1079,1064,1065,1062,1051,1048
Belding city,5758,5752,5765,5784,5765,5769
Bellaire village,1078,1075,1070,1070,1064,1064
Belleville city,3954,3940,3905,3898,3875,3853
Bellevue village,1283,1285,1287,1292,1292,1296
Benton Harbor city,10058,10044,10029,10031,9975,9919
Benzonia village,493,492,491,493,490,500
Berkley city,15050,15140,15229,15272,15253,15272
Berrien Springs village,1797,1793,1783,1778,1764,1752
Bessemer city,1876,1851,1827,1803,1772,1754
Beulah village,340,340,340,342,340,337
Beverly Hills village,10321,10389,10446,10452,10451,10470
Big Rapids city,10651,10695,10496,10457,10417,10437
Bingham Farms village,1117,1126,1134,1137,1134,1133
Birch Run village,1539,1531,1514,1497,1479,1466
Birmingham city,20204,20328,20419,20713,20834,21007
Blissfield village,3308,3286,3270,3256,3249,3244
Bloomfield Hills city,3891,3924,3961,3996,4000,3999
Bloomingdale village,450,445,445,445,442,440
Boyne City city,3744,3749,3745,3740,3747,3740
Boyne Falls village,294,294,293,292,292,292
Breckenridge village,1321,1316,1313,1307,1304,1300
Breedsville village,198,197,197,197,197,197
Bridgman city,2287,2279,2268,2264,2258,2253
Brighton city,7485,7495,7531,7545,7576,7604
Britton village,580,578,575,572,568,566
Bronson city,2346,2336,2324,2332,2329,2319
Brooklyn village,1201,1201,1201,1199,1198,1192
Brown City city,1309,1293,1273,1265,1259,1257
Buchanan city,4444,4429,4407,4396,4362,4334
Buckley village,697,695,695,701,702,705
Burlington village,260,260,260,261,260,260
Burr Oak village,827,823,822,822,817,814
Burton city,29688,29410,29211,28976,28767,28648
Byron village,574,567,562,561,557,555
Cadillac city,10358,10323,10300,10405,10413,10460
Caledonia village,1521,1534,1556,1574,1589,1618
Calumet village,726,720,714,707,703,706
Camden village,510,504,503,501,502,501
Capac village,1872,1860,1856,1854,1849,1841
Carleton village,2359,2357,2350,2347,2345,2344
Carney village,191,190,191,189,189,187
Caro city,4205,4164,4133,4118,4103,4064
Carson City city,1103,1100,1101,1102,1103,1106
Carsonville village,521,515,508,506,504,503
Caseville city,765,759,754,750,745,738
Casnovia village,319,322,324,326,327,328
Caspian city,901,886,880,868,867,856
Cass City village,2415,2388,2374,2366,2359,2337
Cassopolis village,1776,1758,1746,1740,1730,1725
Cedar Springs city,3537,3562,3588,3613,3630,3651
Cement City village,433,429,426,423,422,422
Center Line city,8257,8282,8323,8340,8317,8297
Central Lake village,945,943,937,937,933,932
Centreville village,1421,1418,1417,1418,1412,1409
Charlevoix city,2517,2521,2519,2516,2520,2514
Charlotte city,9052,9053,9045,9056,9039,9055
Chatham village,218,216,216,213,211,207
Cheboygan city,4829,4801,4770,4781,4732,4726
Chelsea city,5015,5051,5110,5157,5164,5185
Chesaning village,2372,2360,2334,2311,2288,2272
Clare city,3144,3116,3094,3108,3100,3071
Clarksville village,395,396,398,399,399,400
Clawson city,11887,11969,12038,12049,12004,11970
Clayton village,342,340,340,340,338,338
Clifford village,324,325,325,325,325,324
Climax village,771,775,780,783,783,784
Clinton village,2313,2297,2288,2282,2267,2264
Clio city,2617,2593,2575,2555,2534,2515
Coldwater city,10924,10871,10816,10848,10832,10776
Coleman city,1238,1231,1222,1212,1205,1198
Coloma city,1480,1474,1467,1465,1454,1446
Colon village,1167,1163,1161,1161,1155,1153
Columbiaville village,786,786,785,782,782,780
Concord village,1047,1048,1049,1049,1050,1046
Constantine village,2067,2061,2059,2059,2051,2047
Coopersville city,4292,4313,4331,4345,4338,4321
Copemish village,194,193,192,192,192,191
Copper City village,191,190,189,188,187,187
Corunna city,3464,3432,3412,3413,3399,3401
Croswell city,2412,2380,2340,2323,2306,2301
Crystal Falls city,1461,1439,1434,1414,1413,1392
Custer village,284,284,284,285,285,286
Daggett village,257,255,256,254,254,251
Dansville village,562,560,557,556,556,555
Davison city,5120,5072,5039,5000,4961,4929
Dearborn city,97041,96658,95751,95593,95060,94444
Dearborn Heights city,57201,56985,56468,56371,56080,55761
Decatur village,1797,1780,1778,1772,1766,1762
Deckerville village,820,810,797,792,789,788
Deerfield village,890,884,880,877,871,870
De Tour Village village,328,328,327,324,321,320
Detroit city,704135,698558,689596,679903,676336,672795
DeWitt city,4573,4597,4645,4693,4657,4719
Dexter city,4108,4145,4249,4360,4383,4420
Dimondale village,1235,1237,1239,1243,1243,1247
Douglas city,1233,1237,1246,1266,1285,1305
Dowagiac city,5883,5827,5909,5890,5852,5826
Dryden village,948,948,947,944,942,937
Dundee village,3927,3914,3912,3928,3964,4002
Durand city,3411,3376,3353,3351,3333,3330
Eagle village,124,125,126,126,125,125
East Grand Rapids city,10777,10947,11135,11290,11463,11637
East Jordan city,2353,2356,2352,2348,2352,2348
Eastlake village,512,510,506,506,506,504
East Lansing city,48613,48664,48389,48248,48434,48870
Eastpointe city,32412,32508,32664,32737,32646,32673
East Tawas city,2774,2756,2756,2761,2753,2750
Eaton Rapids city,5217,5213,5209,5221,5216,5229
Eau Claire village,625,623,621,621,618,615
Ecorse city,9417,9383,9320,9304,9246,9181
Edmore village,1192,1189,1190,1191,1192,1195
Edwardsburg village,1263,1251,1239,1233,1228,1222
Elberta village,371,370,369,371,369,371
Elk Rapids village,1629,1626,1618,1621,1614,1614
Elkton village,800,793,788,783,778,769
Ellsworth village,346,346,344,344,342,342
Elsie village,974,974,979,979,971,973
Emmett village,266,265,264,264,263,263
Empire village,373,373,375,377,378,375
Escanaba city,12571,12538,12534,12450,12396,12327
Essexville city,3465,3451,3444,3417,3393,3359
Estral Beach village,414,416,413,411,409,407
Evart city,1899,1885,1884,1868,1860,1864
Fairgrove village,559,551,546,545,544,539
Farmington city,10428,10493,10548,10554,10513,10514
Farmington Hills city,80224,80747,81234,81437,81253,81129
Farwell village,873,864,859,862,860,853
Fennville city,1389,1391,1390,1397,1401,1401
Fenton city,11673,11592,11541,11460,11430,11367
Ferndale city,20011,20136,20237,20244,20156,20099
Ferrysburg city,2915,2937,2962,2988,2999,3001
Fife Lake village,448,453,458,462,466,469
Flat Rock city,9851,9854,9806,9837,9852,9828
Flint city,101385,100417,99717,98900,98140,97386
Flushing city,8318,8246,8194,8136,8081,8029
Forestville village,134,133,131,131,130,130
Fountain village,193,193,193,193,194,194
Fowler village,1218,1221,1230,1231,1221,1223
Fowlerville village,2896,2891,2889,2874,2896,2916
Frankenmuth city,4947,4940,4905,4960,5023,5131
Frankfort city,1280,1278,1279,1287,1281,1290
Franklin village,3170,3184,3218,3236,3234,3244
Fraser city,14481,14536,14614,14654,14631,14622
