Area,Year,Population
Keweenaw,2004,2125
Luce,2004,6894
Ontonagon,2004,7497
Baraga,2004,8884
Schoolcraft,2004,8962
Oscoda,2004,9299
Alger,2004,9680
Montmorency,2004,10326
Alcona,2004,11459
Mackinac,2004,11647
Lake,2004,11757
Iron,2004,12460
Presque Isle,2004,14163
Crawford,2004,14591
Missaukee,2004,15127
Gogebic,2004,16976
Arenac,2004,17128
Kalkaska,2004,17400
Benzie,2004,17420
Leelanau,2004,21859
Ogemaw,2004,22053
Osceola,2004,23990
Antrim,2004,24263
Otsego,2004,24586
Menominee,2004,24987
Manistee,2004,25048
Roscommon,2004,25771
Charlevoix,2004,26601
Iosco,2004,26860
Gladwin,2004,26971
Cheboygan,2004,27228
Dickinson,2004,27231
Oceana,2004,27556
Mason,2004,28842
Alpena,2004,30735
Wexford,2004,31778
Clare,2004,31821
Emmet,2004,32824
Huron,2004,35014
Houghton,2004,36154
Delta,2004,38123
Chippewa,2004,38803
Mecosta,2004,42553
Gratiot,2004,42583
Sanilac,2004,44939
Branch,2004,46791
Hillsdale,2004,47392
Newaygo,2004,49272
Cass,2004,52290
Tuscola,2004,58230
Barry,2004,59005
St. Joseph,2004,62265
Montcalm,2004,63482
Ionia,2004,64562
Marquette,2004,65620
Isabella,2004,67067
Clinton,2004,70605
Shiawassee,2004,73034
Van Buren,2004,77241
Grand Traverse,2004,82768
Midland,2004,84058
Lapeer,2004,91125
Lenawee,2004,101216
Eaton,2004,107533
Bay,2004,109453
Allegan,2004,110225
Calhoun,2004,139443
Monroe,2004,151117
Berrien,2004,159742
Jackson,2004,162140
St. Clair,2004,168457
Muskegon,2004,172771
Livingston,2004,175245
Saginaw,2004,208489
Kalamazoo,2004,242505
Ottawa,2004,253048
Ingham,2004,283586
Washtenaw,2004,339422
Genesee,2004,442534
Kent,2004,589554
Macomb,2004,823418
Oakland,2004,1203812
Wayne,2004,1983830
Keweenaw,2005,2068
Luce,2005,6810
Ontonagon,2005,7375
Baraga,2005,8851
Schoolcraft,2005,8905
Oscoda,2005,9108
Alger,2005,9633
Montmorency,2005,10222
Alcona,2005,11517
Mackinac,2005,11596
Lake,2005,11792
Iron,2005,12397
Presque Isle,2005,14100
Crawford,2005,14644
Missaukee,2005,15099
Gogebic,2005,16811
Arenac,2005,17094
Kalkaska,2005,17381
Benzie,2005,17697
Leelanau,2005,21813
Ogemaw,2005,22071
Osceola,2005,23946
Antrim,2005,24261
Menominee,2005,24719
Otsego,2005,24758
Manistee,2005,25178
Roscommon,2005,25678
Charlevoix,2005,26534
Gladwin,2005,26752
Iosco,2005,26835
