year,Alcona,Alger,Allegan,Alpena,Antrim,Arenac,Baraga,Barry,Bay,Benzie,Berrien,Branch,Calhoun,Cass,Charlevoix,Cheboygan,Chippewa,Clare,Clinton,Crawford,Delta,Dickinson,Eaton,Emmet,Genesee,Gladwin,Gogebic,Grand Traverse,Gratiot,Hillsdale,Houghton,Huron,Ingham,Ionia,Iosco,Iron,Isabella,Jackson,Kalamazoo,Kalkaska,Kent,Keweenaw,Lake,Lapeer,Leelanau,Lenawee,Livingston,Luce,Mackinac,Macomb,Manistee,Marquette,Mason,Mecosta,Menominee,Midland,Missaukee,Monroe,Montcalm,Montmorency,Muskegon,Newaygo,Oakland,Oceana,Ogemaw,Ontonagon,Osceola,Oscoda,Otsego,Ottawa,Presque Isle,Roscommon,Saginaw,Sanilac,Schoolcraft,Shiawassee,St. Clair,St. Joseph,Tuscola,Van Buren,Washtenaw,Wayne,Wexford
2004,0,0,18,12,2,0,1,9,31,2,41,9,43,7,5,0,5,5,5,0,9,5,19,7,65,1,2,14,5,14,7,6,123,7,6,1,11,39,75,1,209,1,2,8,2,17,17,0,2,184,1,18,11,1,10,16,1,27,7,1,57,2,230,3,3,0,1,1,3,66,0,5,39,1,2,23,35,13,5,11,76,482,4
2005,0,0,9,12,0,1,0,5,28,1,30,5,45,6,4,7,4,2,6,0,12,6,13,6,82,1,0,35,6,6,9,4,128,6,3,0,14,25,56,3,169,0,1,8,0,12,13,0,0,202,8,20,5,7,5,8,2,25,11,0,61,8,223,0,2,1,2,0,5,71,2,4,33,2,0,17,30,10,3,8,64,433,8
2006,1,0,14,8,2,1,0,4,37,0,26,11,36,6,4,4,6,4,4,3,8,9,20,7,70,2,0,20,2,6,10,3,119,6,0,3,24,40,80,4,171,0,1,6,2,12,15,0,1,194,3,14,4,5,5,8,2,20,12,0,40,6,210,2,2,0,1,1,2,72,2,8,31,6,1,14,29,14,6,8,80,406,6
2007,0,0,10,10,4,2,1,3,28,2,26,6,36,8,6,1,5,6,8,0,13,8,11,4,75,4,1,35,7,2,8,1,110,9,5,1,9,32,87,4,189,1,1,7,1,10,12,1,2,245,4,10,6,4,5,19,0,26,5,0,50,4,234,4,1,0,1,0,4,85,0,6,29,4,1,22,38,17,3,6,71,434,10
2008,0,2,11,8,1,1,0,4,31,2,33,9,23,4,2,2,4,6,8,2,9,3,18,5,50,0,0,40,5,4,4,2,117,13,5,0,20,37,75,1,202,0,1,11,6,15,14,0,2,197,2,18,4,7,4,9,0,23,7,0,41,3,249,0,1,0,1,0,4,87,1,3,32,4,1,12,23,14,2,7,92,378,7
2009,1,1,8,3,2,0,1,5,31,0,34,5,38,4,2,5,1,5,5,1,5,6,13,5,59,0,0,28,3,4,9,8,115,3,4,0,27,23,81,0,186,0,0,7,2,18,9,0,2,186,1,11,3,3,1,8,2,18,9,0,50,6,231,2,0,0,3,0,1,95,0,3,20,0,2,17,30,11,4,9,96,397,4
2010,0,0,19,7,1,2,0,7,24,1,23,4,36,4,2,3,5,1,7,4,10,3,17,7,57,3,2,25,3,7,5,2,100,7,4,2,21,28,69,3,165,0,0,4,4,19,11,2,2,188,3,21,4,3,5,15,2,21,6,0,36,6,204,2,1,0,3,0,2,104,0,1,35,2,1,13,36,15,3,3,105,375,5
2011,0,0,16,8,1,0,1,5,28,2,28,8,28,1,4,0,4,1,4,2,8,4,14,5,46,2,2,38,5,3,4,3,109,8,5,1,17,27,77,2,194,0,2,7,2,10,13,2,1,143,5,17,6,8,5,14,0,37,9,0,39,4,195,1,1,0,3,0,5,103,0,0,23,2,0,10,28,11,1,5,94,348,8
2012,0,1,15,7,3,1,0,6,26,1,26,9,26,5,4,2,8,3,2,1,7,7,17,6,50,5,3,25,5,1,7,3,114,6,7,0,12,33,70,0,189,1,0,4,2,14,13,0,1,216,2,20,6,7,5,16,0,20,10,0,41,6,222,2,1,0,4,1,4,81,1,5,27,2,0,13,27,10,5,18,95,343,12
2013,0,0,10,10,1,2,0,4,18,1,27,7,31,5,2,3,3,0,5,0,8,6,11,6,41,1,2,26,3,3,6,3,124,6,4,2,17,21,65,0,176,0,1,11,5,9,8,0,2,164,5,10,5,4,4,13,2,21,12,1,30,3,219,1,1,0,0,1,5,99,0,4,29,4,0,10,25,12,1,8,99,399,1
2014,0,0,11,8,2,1,0,1,37,1,25,6,24,4,1,3,3,1,12,1,4,5,10,9,33,1,0,19,4,1,3,2,118,9,3,2,18,18,66,0,151,0,1,6,2,13,10,0,0,147,0,9,2,7,7,15,1,23,7,0,36,5,190,1,1,0,1,0,0,72,0,2,27,4,0,7,22,11,6,11,98,383,5
2015,0,0,12,7,2,0,0,5,21,1,21,8,26,5,4,3,2,0,4,2,7,2,8,5,43,0,0,27,4,5,3,2,130,8,1,3,19,32,71,0,178,1,0,4,3,12,6,1,2,167,2,8,3,5,6,12,2,28,5,0,46,5,180,0,1,1,2,0,2,82,0,4,24,4,0,6,25,7,5,7,77,449,4
2016,0,1,20,7,0,0,0,4,25,1,28,3,17,4,6,2,1,2,2,2,3,0,15,4,37,1,0,24,4,3,3,2,114,3,1,1,19,32,67,0,173,0,0,9,3,11,17,0,1,221,1,7,5,8,5,14,1,22,8,0,31,4,201,2,3,0,1,1,2,81,0,3,32,1,0,5,22,10,3,3,121,465,4
